"Scode"	"Name"	"Longitude"	"Latitude"	"Altitude"	"MappedAltitude"	"Elev_10km^2"	"Elev_100km^2"	"Elev_1000km^2"	"ElevSD_10km^2"	"ElevSD_100km^2"	"ElevSD_1000km^2"	"E-W_slope_10km^2"	"E-W_slope_100km^2"	"E-W_slope_1000km^2"	"N-S_slope_10km^2"	"N-S_slope_100km^2"	"N-S_slope_1000km^2"
"S008"	"Station 479: DUSSELDORF                                "	6.77	51.2969444444444	0.37	0.35	0.359333333333333	0.380213903743315	0.554438502673797	0.0153374735611213	0.0843823684588307	0.339553235521745	0.0137427196662656	0.0194520112923245	0.0286741478384235	-0.00107991360691146	-0.00854690983010122	0.000470770768662506
"S009"	"Station 356: AACHEN                                    "	6.095	50.7838888888889	2.02	1.77	1.778	2.06689839572193	2.16330956625074	0.159919622668032	0.38372958297071	0.875708059265764	-0.16434002267576	-0.0256183218377663	0.02911438407619	-0.0453563714902803	-0.0948360494796771	-0.0841283357916447
"S010"	"Station 485: NURBURG-BARWEILER                         "	6.87027777777778	50.3608333333333	4.85	4.69	4.52133333333333	4.4096256684492	4.65159239453357	0.230925673468038	0.602237199173856	0.704625592041588	0.129983223510097	0.0706503786764512	-0.00261291631115257	-0.116630669546435	-0.119639412804194	-0.0322222492096823
"S011"	"Station 464: ARCEN                                     "	6.19583333333333	51.4969444444444	0.2	0.22	0.227333333333333	0.238663101604278	0.248259061200238	0.0281492620219599	0.0627919322004676	0.0756996657008968	0.0274854393325312	0.0178903386029761	0.00391845583573508	0.00755939524838005	-0.000202122867603751	-0.00381669686620097
"S028"	"Station 812: KAHLER ASTEN (WST)                        "	8.49	51.1816666666667	8.39	7.69	7.38866666666667	6.50069518716578	5.61740938799762	0.391624212491419	0.585695109616194	0.993207760605161	-0.327534818712663	-0.0475353262966111	-0.00940461434888002	0.0799136069114472	0.0421686051212157	0.0236633082565094
"S029"	"Station 3989: AACHEN-ORSBACH                           "	6.025	50.7991666666667	2.31	2.31	2.17066666666667	1.92582887700535	1.91130124777184	0.143151601291711	0.330273156124228	0.665642944295927	-0.0549708786650623	-0.00556154514123337	0.0206588804263236	-0.0388768898488115	-0.0784525473256251	-0.065630979468166
"S030"	"Station 3991: GIESSEN/WETTENBERG                       "	8.65055555555556	50.6008333333333	2.03	1.77	1.764	1.87844919786096	2.39745098039216	0.121702212680906	0.280274925199508	0.568368320182928	-0.08589199791416	-0.0332697524897451	-0.022231718015442	0.0583153347732178	0.0467654566244322	0.0228076123208662
"S031"	"Station 3996: KOLN-BONN                                "	7.15833333333333	50.8658333333333	0.92	0.92	0.92	0.864491978609626	1.05193701723113	0.126151835952893	0.286454285586741	0.592258462497094	0.139145036620939	0.0703977551531743	0.0535049320361893	0.0269978401727859	0.0336505699864863	0.012563111025355
"S032"	"Station 4021: DORTMUND                                 "	7.53527777777778	51.5130555555556	1.2	1.13	1.088	1.05508021390374	1.12655971479501	0.143785554609236	0.299433818749163	0.509209466784951	0.0068713598331328	0.0215878283527568	0.0120267169699699	-0.163066954643627	-0.0851514766519205	-0.0466783512933934
"S033"	"Station 4029: DUSSELDORF-SUDFRIEDHOF                   "	6.75805555555556	51.2008333333333	0.37	0.4	0.375333333333333	0.385828877005348	0.533232323232323	0.0282505794293717	0.036920906749208	0.277426829553334	0.0229045327771094	0.00592134228044588	0.0135774603059569	0.00323974082073433	0.000877790739307689	0.00541400538224317
"S034"	"Station 4030: DUISBURG-FRIEMERSHEIM                    "	6.70305555555556	51.3952777777778	0.31	0.29	0.295333333333333	0.29855614973262	0.404438502673797	0.0135576371027375	0.021665859425964	0.194895539545513	0.00114522663885555	0.0027176166897974	0.0132289929490003	-0.01511879049676	-0.0041926057680091	-0.00627380605399313
"S035"	"Station 4031: DUISBURG-LAAR                            "	6.73277777777778	51.4644444444444	0.21	0.31	0.306	0.303743315508021	0.406096256684492	0.0216465107712866	0.0473138502502961	0.212399871361986	0.0229045327771094	0.0114599216468358	0.0173540229851213	0.0053995680345572	-0.00602326145459159	-0.0048897315015679
"S036"	"Station 4049: ELSDORF/ERFTKREIS                        "	6.56527777777778	50.9291666666667	0.85	0.84	0.845333333333333	0.86620320855615	0.987855020796197	0.0366190166573651	0.120433899196494	0.213608035339585	-0.0349294124850918	-0.0257752546325292	-0.00752184479526008	-0.024838012958963	-0.0312424203924646	-0.0150678493062485
"S037"	"Station 4056: BAD EMS                                  "	7.69805555555556	50.3333333333333	0.9	1.38	1.846	2.57486631016043	2.55994058229352	0.778494884835016	0.814851631252995	0.987855444559053	-0.130555836829524	0.0766788945728329	0.04568601611034	-0.84125269978401	0.000710317506150161	-0.0241451901211852
"S038"	"Station 4057: ENGELSKIRCHEN                            "	7.42555555555556	50.9894444444444	1.44	1.47	1.798	2.49155080213904	2.54688057040998	0.276798018159709	0.541962038246122	0.683739074410361	0.0532530387067795	-0.00262958121956452	0.0503547814761882	0.0572354211663064	-0.0192363220568021	0.0397797760954207
"S039"	"Station 4073: ESLOHE                                   "	8.15694444444444	51.2552777777778	3.51	3.43	3.586	4.11534759358289	4.11288770053476	0.285026314574637	0.656595374683683	0.936486897156929	-0.0211866928188262	-0.119927276232017	0.046056719048273	-0.16522678185745	0.00690682713297375	-0.0357808431003403
"S040"	"Station 4074: ESSEN-BREDENEY                           "	6.96833333333333	51.4055555555556	1.5	1.37	1.33533333333333	1.03155080213904	0.94308972073678	0.109012886962091	0.306475369279751	0.596594444081388	0.0383650924016584	0.041250359247812	0.0395858352191267	0.071274298056155	-0.00302029313590738	-0.0404455926004682
"S041"	"Station 4076: WEILERSWIST-LOMMERSUM                    "	6.79166666666667	50.7130555555556	1.46	1.4	1.4	1.42775401069519	1.62679738562092	0.0672946612189364	0.136035587621105	0.672476229598377	-0.0675683716924728	-0.0170750535960368	-0.0163199742511485	-0.029157667386609	-0.0398066550397888	-0.066882711666803
"S042"	"Station 4084: DUISBURG-BAERL                           "	6.70194444444444	51.51	0.25	0.24	0.236666666666667	0.265561497326203	0.363065953654189	0.00975900072948533	0.0293308933596105	0.15293323032118	-0.00801658647198826	0.00395776853133875	0.012339145726403	0.0053995680345572	-0.0047527748582252	-0.000862419210300855
"S043"	"Station 4087: WALTROP-ABDINGHOF                        "	7.40555555555556	51.5980555555556	0.68	0.77	0.762	0.702566844919786	0.797801544860368	0.0436217507999982	0.115534473616126	0.26651878472923	0.0320663458879533	0.00541992286303252	0.00279650118205423	0.036717062634989	-0.0249708365576741	-0.0204104464344958
"S044"	"Station 4088: GEVELSBERG-OBERBROKING                   "	7.34166666666667	51.3341666666667	2.05	1.9	1.894	2.29128342245989	2.25888294711824	0.316155477122073	0.491333997052098	0.888706022671619	0.0206140794993987	0.0130790087732926	0.024788197407082	-0.144708423326132	-0.097908317067254	-0.0824852382366181
"S045"	"Station 4091: MEINERZHAGEN-REDLENDORF                  "	7.62944444444445	51.0908333333333	3.8	3.65	3.864	4.10609625668449	3.68860962566845	0.28382086906055	0.565511711692323	0.759656325434685	0.112804823927264	0.0824050277671101	0.0439315251308709	0.246220302375808	0.115504556426929	0.039794708842292
"S046"	"Station 4124: FUCHSKAUTEN                              "	8.10333333333333	50.66	6.53	6.26	6.00266666666667	5.56048128342246	4.15956030897207	0.259270037568849	0.363025345574557	1.02670057723007	0.202132501757991	-0.00132435968263378	-0.0419528410796488	0.0874730021598272	0.056265231401808	0.0174246755446729
"S047"	"Station 4138: GELDERN-WALBECK                          "	6.24666666666667	51.4955555555556	0.37	0.3	0.312666666666667	0.273155080213904	0.262115270350564	0.0194446712004919	0.0522832701440518	0.0777411083481638	-0.00114522663885543	0.00651462479723264	0.00464521072498327	0.00647948164146866	-0.00344186368833806	-0.00375703665002801
"S048"	"Station 4145: GIESSEN (LAHNTAL)                        "	8.65583333333333	50.5919444444444	1.58	1.74	1.70733333333333	1.84433155080214	2.37961972667855	0.0865585406091216	0.238419881764714	0.557437527692627	-0.0274854393325312	-0.00805333171173768	-0.0206154456685686	0.044276457883369	0.0242374192952262	0.0212759088112207
"S049"	"Station 4172: ARNSBERG                                 "	8.07194444444444	51.3783333333333	2.18	2.92	3.04066666666667	3.17235294117647	3.295834818776	0.554133386039688	0.686289558884423	0.934472802491695	0.246223727353926	0.0145335078467053	0.030495204232977	-0.582073434125265	-0.142051951351912	-0.0741686182563709
"S050"	"Station 4176: HAGEN-FLEY                               "	7.49027777777778	51.4141666666667	1	1.08	1.28	1.49374331550802	1.80871657754011	0.241720026949716	0.348838161317105	0.872458165631648	-0.0160331729439765	-0.0255991836920634	0.019089764470462	0.139308855291576	0.0356255991499287	-0.0791773163337234
"S051"	"Station 4207: HEINSBERG-SCHLEIDEN                      "	6.10444444444444	51.0425	0.57	0.62	0.634	0.606844919786096	0.7049376114082	0.0457945723546236	0.150772892351837	0.27597892831856	-0.00515351987484954	-0.016152594973162	0.0113524418205689	-0.0561555075593947	-0.0445016805072702	-0.0229144062309551
"S052"	"Station 4208: ASSLAR KLEIN-ALTENSTADTEN                "	8.46916666666667	50.5808333333333	2	1.99	1.868	2.16893048128342	2.564165181224	0.296484160020155	0.509690956840761	0.609990693131678	-0.28058052651959	0.0110962968784827	-0.0140224545811782	-0.0518358531317489	0.0979776163361466	0.0210202828316042
"S053"	"Station 4218: HERTEN                                   "	7.15555555555556	51.5902777777778	0.6	0.56	0.601333333333333	0.666256684491979	0.673273915626857	0.0528970248510749	0.176357708325218	0.238898658016238	0.00687135983313285	0.00443239454476817	0.0140120905391975	0.0626349892008634	0.0535510100368436	-0.0115173233451798
